Timestep,rainfall14,rainfall-daily
371,88.6,8.25
372,96.85,0.55
373,97.4,4.15
374,101.55,0
375,101.55,3.9
376,104.08,0
377,100.13,2.8
378,102.93,13
379,115.93,3.75
380,119.58,2
381,121.58,10.5
382,109.58,0.025
383,104.1,5.575
384,81.5,5.075
385,59.58,0
386,51.33,6.25
387,57.03,0.375
388,53.25,0.333333333
389,53.58,0.875
390,50.56,0
391,50.56,0.5
392,48.26,12.5
393,47.76,2.75
394,46.76,2.5
395,47.26,4.75
396,41.51,0
397,41.48,7.975
398,43.88,1.375
399,40.18,1.375
400,41.56,1.875
401,37.18,0.5
402,37.31,8.25
403,45.23,1
404,45.35,5.5
405,50.85,7.833333333
406,58.18,17.58333333
407,63.27,23.58333333
408,84.1,18.875
409,100.48,46.875
410,142.6,16.75
411,159.35,13.5
412,164.88,13
413,176.5,2.125
414,177.25,9.8125
415,185.19,19.4375
416,204.13,5.3125
417,201.19,2.5625
418,202.75,0
419,197.25,0.75
420,190.17,15.725
421,188.31,18.725
422,183.45,14.375
423,178.95,9.625
424,141.7,25.525
425,150.48,23.75
426,160.73,23.125
427,170.85,14.6
428,183.33,11
429,184.51,1
430,166.08,15.95
431,176.71,14.1
432,188.25,19.3
433,207.55,17.8
434,224.6,2.8
435,211.68,10.1
436,203.05,17.3
437,205.98,3.8
438,200.15,2.2
439,176.83,2.3
440,155.38,2.62
441,134.87,1.8
442,122.07,8.7
443,119.77,10.3
444,129.07,10.72
445,123.84,8.64
446,118.38,2.753333333
447,101.83,3.133333333
448,87.17,3.693333333
449,88.06,16.3
450,94.26,13.8
451,90.76,27.2
452,114.16,5.84
453,117.8,2.627
454,118.13,13.05366667
455,128.56,6.733666667
456,133.49,12.45366667
457,137.25,6.08
458,133.03,5.94
459,128.25,12
460,131.61,1.875
461,130.73,17.3
462,144.9,6.16
463,147.36,4.005714286
464,135.07,10.92571429
465,132.19,9.385714286
466,114.38,11.08571429
467,119.63,13.75238095
468,130.75,18.45238095
469,136.15,6.752380952
470,136.17,17.4
471,141.12,10.25
472,145.29,4.795
473,144.14,5.675
474,137.82,5.208333333
475,141.15,15.04833333
476,138.9,10.13333333
477,142.87,17.4
478,156.26,3.36
479,148.7,10.45
480,149.76,14.85
481,153.53,18.85
482,158.62,24.55
483,164.72,27.35
484,185.32,15.88
485,183.8,22.64
486,196.19,9.64
487,201.04,17.9
488,213.26,43.7
489,251.75,19.98
490,256.68,16.5
491,263.05,13.94285714
492,259.59,12.74285714
493,268.98,3.222857143
494,261.75,16.34285714
495,263.24,25.58285714
496,269.97,3.142857143
497,248.57,12.78285714
498,234,8.3
499,226.42,21.72
500,225.5,6.335
501,222.2,7.975
502,212.27,15.875
503,184.45,6.875
504,171.34,3.8
505,158.64,0.5
506,145.2,1.2
507,133.65,10.84
508,141.27,6.4
509,131.33,3.06
510,108.81,2.2
511,107.86,14.7
512,109.78,3.8
513,105.28,10.5
514,94.06,0.8
515,88.53,11.1
516,91.65,6.7
517,82.48,3.44
518,79.04,18.24
519,93.48,4.15
520,97.13,7.45
521,103.38,27.65
522,120.19,31.15
523,144.94,1.4
524,143.28,6
525,147.08,5.4
526,137.78,0
527,133.98,2.2
528,125.68,1
529,125.88,4.6
530,119.38,9.1
531,121.78,16.4
532,134.74,6
533,122.5,11.2
534,129.55,19.8
535,141.9,9.2
536,123.45,4.8
537,97.1,7.8
538,103.5,0
539,97.5,0
540,92.1,0
541,92.1,0.4
542,90.3,49.8
543,139.1,3.8
544,138.3,0.8
545,130,7.6
546,121.2,0
547,115.2,0
548,104,0
549,84.2,0
550,75,0
551,70.2,0
552,62.4,0
553,62.4,0
554,62.4,0
555,62.4,0
556,62,0
557,12.2,0
558,8.4,3
559,10.6,3
560,6,0
561,6,0
562,6,0
563,6,0
564,6,0
565,6,0
566,6,0
567,6,3
568,9,9
569,18,2.75
570,20.75,0
571,20.75,0
572,20.75,0.15
573,17.9,0
574,14.9,0
575,14.9,0
576,14.9,0
577,14.9,0
578,14.9,0
579,14.9,0
580,14.9,0
581,14.9,0
582,11.9,0
583,2.9,0
584,0.15,0
585,0.15,0
586,0.15,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0.066666667
597,0.07,0
598,0.07,0
599,0.07,0
600,0.07,0
601,0.07,0
602,0.07,0
603,0.07,0
